,driverId,driver_name,total_wins,final_position
467,154,Romain Grosjean,1,14.0
468,155,Kamui Kobayashi,1,14.0
469,807,Nico Hülkenberg,1,14.0
470,811,Bruno Senna,1,14.0
471,815,Sergio Pérez,1,14.0
472,819,Charles Pic,1,14.0
473,820,Max Chilton,1,14.0
474,838,Stoffel Vandoorne,1,14.0
475,841,Antonio Giovinazzi,1,14.0
476,844,Charles Leclerc,1,14.0
477,845,Sergey Sirotkin,1,14.0
478,847,George Russell,1,14.0
479,853,Nikita Mazepin,1,14.0
480,856,Nyck de Vries,1,14.0
481,858,Logan Sargeant,1,14.0
482,807,Nico Hülkenberg,4,15.0
483,822,Valtteri Bottas,4,15.0
484,825,Kevin Magnussen,4,15.0
485,854,Mick Schumacher,4,15.0
486,848,Alexander Albon,3,15.0
487,5,Heikki Kovalainen,2,15.0
488,13,Felipe Massa,2,15.0
489,815,Sergio Pérez,2,15.0
490,817,Daniel Ricciardo,2,15.0
491,819,Charles Pic,2,15.0
492,823,Giedo van der Garde,2,15.0
493,826,Daniil Kvyat,2,15.0
494,846,Lando Norris,2,15.0
495,855,Guanyu Zhou,2,15.0
496,1,Lewis Hamilton,1,15.0
497,3,Nico Rosberg,1,15.0
498,4,Fernando Alonso,1,15.0
499,153,Jaime Alguersuari,1,15.0
500,154,Romain Grosjean,1,15.0
501,155,Kamui Kobayashi,1,15.0
502,811,Bruno Senna,1,15.0
503,813,Pastor Maldonado,1,15.0
504,821,Esteban Gutiérrez,1,15.0
505,828,Marcus Ericsson,1,15.0
506,835,Jolyon Palmer,1,15.0
507,836,Pascal Wehrlein,1,15.0
508,839,Esteban Ocon,1,15.0
509,840,Lance Stroll,1,15.0
510,841,Antonio Giovinazzi,1,15.0
511,842,Pierre Gasly,1,15.0
512,845,Sergey Sirotkin,1,15.0
513,849,Nicholas Latifi,1,15.0
514,852,Yuki Tsunoda,1,15.0
515,857,Oscar Piastri,1,15.0
516,849,Nicholas Latifi,5,16.0
517,858,Logan Sargeant,4,16.0
518,824,Jules Bianchi,3,16.0
519,855,Guanyu Zhou,3,16.0
520,817,Daniel Ricciardo,2,16.0
521,825,Kevin Magnussen,2,16.0
522,828,Marcus Ericsson,2,16.0
523,841,Antonio Giovinazzi,2,16.0
524,9,Robert Kubica,1,16.0
525,18,Jenson Button,1,16.0
526,154,Romain Grosjean,1,16.0
527,808,Vitaly Petrov,1,16.0
528,811,Bruno Senna,1,16.0
529,814,Paul di Resta,1,16.0
530,818,Jean-Éric Vergne,1,16.0
531,819,Charles Pic,1,16.0
532,822,Valtteri Bottas,1,16.0
533,840,Lance Stroll,1,16.0
534,851,Jack Aitken,1,16.0
535,852,Yuki Tsunoda,1,16.0
536,825,Kevin Magnussen,3,17.0
537,817,Daniel Ricciardo,2,17.0
538,820,Max Chilton,2,17.0
539,846,Lando Norris,2,17.0
540,858,Logan Sargeant,2,17.0
541,22,Rubens Barrichello,1,17.0
542,37,Pedro de la Rosa,1,17.0
543,154,Romain Grosjean,1,17.0
544,807,Nico Hülkenberg,1,17.0
545,822,Valtteri Bottas,1,17.0
546,840,Lance Stroll,1,17.0
547,847,George Russell,1,17.0
548,849,Nicholas Latifi,1,17.0
549,850,Pietro Fittipaldi,1,17.0
550,854,Mick Schumacher,1,17.0
551,855,Guanyu Zhou,1,17.0
552,856,Nyck de Vries,1,17.0
553,842,Pierre Gasly,2,18.0
554,5,Heikki Kovalainen,1,18.0
555,807,Nico Hülkenberg,1,18.0
556,823,Giedo van der Garde,1,18.0
557,848,Alexander Albon,1,18.0
558,856,Nyck de Vries,1,18.0
559,15,Jarno Trulli,1,19.0
560,825,Kevin Magnussen,1,19.0
561,844,Charles Leclerc,1,19.0
